bagOfFeaturesData1,bagOfFeaturesData2,bagOfFeaturesData3,bagOfFeaturesData4,bagOfFeaturesData5,bagOfFeaturesData6,bagOfFeaturesData7,bagOfFeaturesData8,bagOfFeaturesData9,bagOfFeaturesData10,bagOfFeaturesData11,bagOfFeaturesData12,bagOfFeaturesData13,bagOfFeaturesData14,bagOfFeaturesData15,bagOfFeaturesData16,bagOfFeaturesData17,bagOfFeaturesData18,bagOfFeaturesData19,bagOfFeaturesData20,bagOfFeaturesData21,bagOfFeaturesData22,bagOfFeaturesData23,bagOfFeaturesData24,bagOfFeaturesData25,bagOfFeaturesData26,bagOfFeaturesData27,bagOfFeaturesData28,bagOfFeaturesData29,bagOfFeaturesData30,bagOfFeaturesData31,bagOfFeaturesData32,bagOfFeaturesData33,bagOfFeaturesData34,bagOfFeaturesData35,bagOfFeaturesData36,bagOfFeaturesData37,bagOfFeaturesData38,bagOfFeaturesData39,bagOfFeaturesData40,bagOfFeaturesData41,bagOfFeaturesData42,bagOfFeaturesData43,bagOfFeaturesData44,bagOfFeaturesData45,bagOfFeaturesData46,bagOfFeaturesData47,bagOfFeaturesData48,bagOfFeaturesData49,bagOfFeaturesData50,bagOfFeaturesData51,bagOfFeaturesData52,bagOfFeaturesData53,bagOfFeaturesData54,bagOfFeaturesData55,bagOfFeaturesData56,bagOfFeaturesData57,bagOfFeaturesData58,bagOfFeaturesData59,bagOfFeaturesData60,bagOfFeaturesData61,bagOfFeaturesData62,bagOfFeaturesData63,bagOfFeaturesData64,bagOfFeaturesData65,bagOfFeaturesData66,bagOfFeaturesData67,bagOfFeaturesData68,bagOfFeaturesData69,bagOfFeaturesData70,bagOfFeaturesData71,bagOfFeaturesData72,bagOfFeaturesData73,bagOfFeaturesData74,bagOfFeaturesData75,bagOfFeaturesData76,bagOfFeaturesData77,bagOfFeaturesData78,bagOfFeaturesData79,bagOfFeaturesData80,bagOfFeaturesData81,bagOfFeaturesData82,bagOfFeaturesData83,bagOfFeaturesData84,bagOfFeaturesData85,bagOfFeaturesData86,bagOfFeaturesData87,bagOfFeaturesData88,bagOfFeaturesData89,bagOfFeaturesData90,bagOfFeaturesData91,bagOfFeaturesData92,bagOfFeaturesData93,bagOfFeaturesData94,bagOfFeaturesData95,bagOfFeaturesData96,bagOfFeaturesData97,bagOfFeaturesData98,bagOfFeaturesData99,bagOfFeaturesData100,bagOfFeaturesData101,bagOfFeaturesData102,bagOfFeaturesData103,bagOfFeaturesData104,bagOfFeaturesData105,bagOfFeaturesData106,bagOfFeaturesData107,bagOfFeaturesData108,bagOfFeaturesData109,bagOfFeaturesData110,bagOfFeaturesData111,bagOfFeaturesData112,bagOfFeaturesData113,bagOfFeaturesData114,bagOfFeaturesData115,bagOfFeaturesData116,bagOfFeaturesData117,bagOfFeaturesData118,bagOfFeaturesData119,bagOfFeaturesData120,bagOfFeaturesData121,bagOfFeaturesData122,bagOfFeaturesData123,bagOfFeaturesData124,bagOfFeaturesData125,bagOfFeaturesData126,bagOfFeaturesData127,bagOfFeaturesData128,bagOfFeaturesData129,bagOfFeaturesData130,bagOfFeaturesData131,bagOfFeaturesData132,bagOfFeaturesData133,bagOfFeaturesData134,bagOfFeaturesData135,bagOfFeaturesData136,bagOfFeaturesData137,bagOfFeaturesData138,bagOfFeaturesData139,bagOfFeaturesData140,bagOfFeaturesData141,bagOfFeaturesData142,bagOfFeaturesData143,bagOfFeaturesData144,bagOfFeaturesData145,bagOfFeaturesData146,bagOfFeaturesData147,bagOfFeaturesData148,bagOfFeaturesData149,bagOfFeaturesData150,class
0.0437688119709492,0,0.0875376239418983,0.0875376239418983,0.218844056129456,0.0437688119709492,0.0437688119709492,0.0437688119709492,0.0875376239418983,0.131306439638138,0.131306439638138,0,0,0.131306439638138,0.131306439638138,0.175075247883797,0.0437688119709492,0,0,0.0437688119709492,0.0875376239418983,0.0875376239418983,0.0875376239418983,0,0,0.0437688119709492,0.0437688119709492,0.0875376239418983,0.0437688119709492,0.0437688119709492,0.0437688119709492,0.0437688119709492,0,0,0,0.131306439638138,0.0437688119709492,0.0437688119709492,0.131306439638138,0.0875376239418983,0.131306439638138,0,0.175075247883797,0,0,0.0875376239418983,0,0,0,0.175075247883797,0.131306439638138,0.131306439638138,0.0437688119709492,0,0,0,0.0437688119709492,0,0,0,0.0875376239418983,0.0437688119709492,0.0437688119709492,0,0.0875376239418983,0.131306439638138,0.0437688119709492,0.0875376239418983,0.0437688119709492,0.0437688119709492,0.0437688119709492,0.0875376239418983,0,0,0.0437688119709492,0,0.0437688119709492,0.0875376239418983,0.0437688119709492,0,0,0,0.0437688119709492,0.175075247883797,0.0437688119709492,0.0437688119709492,0.131306439638138,0,0,0,0.0875376239418983,0.0875376239418983,0,0,0,0,0,0.0437688119709492,0.0437688119709492,0.0437688119709492,0.0875376239418983,0.131306439638138,0,0.0875376239418983,0.0875376239418983,0.0437688119709492,0.306381672620773,0.0437688119709492,0.0437688119709492,0.0875376239418983,0.0875376239418983,0.0875376239418983,0,0.0875376239418983,0.0875376239418983,0.0875376239418983,0,0.0437688119709492,0,0.0875376239418983,0.0875376239418983,0,0,0.0875376239418983,0.0437688119709492,0.0437688119709492,0.131306439638138,0.0437688119709492,0,0.0875376239418983,0.218844056129456,0.0437688119709492,0.131306439638138,0,0.0875376239418983,0.0875376239418983,0,0.0875376239418983,0,0,0.131306439638138,0,0.0437688119709492,0,0.218844056129456,0.0875376239418983,0,0.0437688119709492,0.0437688119709492,0.218844056129456,smallTestData
0,0.108749911189079,0,0,0,0.253749787807465,0,0.108749911189079,0,0.108749911189079,0.217499822378159,0.0724999383091927,0.507499575614929,0.217499822378159,0.0362499691545963,0,0,0.0362499691545963,0,0,0.0362499691545963,0,0.0724999383091927,0,0.0724999383091927,0,0.0724999383091927,0.144999876618385,0,0.0362499691545963,0.144999876618385,0,0.144999876618385,0,0,0.0362499691545963,0.217499822378159,0,0.0724999383091927,0,0.181249856948853,0,0,0,0.0362499691545963,0,0.0362499691545963,0,0,0,0,0.0362499691545963,0.144999876618385,0.144999876618385,0,0,0,0.144999876618385,0.108749911189079,0,0,0.0362499691545963,0.0724999383091927,0,0,0.0362499691545963,0.108749911189079,0,0,0,0,0.108749911189079,0,0,0,0,0.217499822378159,0.0362499691545963,0,0,0,0,0,0,0,0,0,0,0.0362499691545963,0,0,0.144999876618385,0.0362499691545963,0.0724999383091927,0.0362499691545963,0.0362499691545963,0,0.0724999383091927,0,0,0.108749911189079,0.0362499691545963,0,0.0362499691545963,0,0,0,0,0,0,0.0362499691545963,0,0,0,0,0.0724999383091927,0.0724999383091927,0.0724999383091927,0,0,0.0362499691545963,0,0.181249856948853,0,0.0362499691545963,0.181249856948853,0.0362499691545963,0.0362499691545963,0,0,0.181249856948853,0,0,0,0,0,0.0362499691545963,0,0,0,0,0.0362499691545963,0.0724999383091927,0.144999876618385,0,0,0,0.0724999383091927,0.0724999383091927,0.0362499691545963,smallTestData
0,0,0,0,0.112037055194378,0,0.298765480518341,0.0373456850647926,0,0.0373456850647926,0,0,0.0373456850647926,0,0.0746913701295853,0.0746913701295853,0,0.0373456850647926,0.0373456850647926,0.336111158132553,0.224074110388756,0.0746913701295853,0,0.0373456850647926,0.0746913701295853,0.0746913701295853,0.0373456850647926,0.0746913701295853,0.149382740259171,0,0,0,0.0746913701295853,0,0.186728417873383,0.0746913701295853,0.0746913701295853,0.0373456850647926,0,0.0373456850647926,0,0.0373456850647926,0.186728417873383,0.0746913701295853,0,0,0.0746913701295853,0.149382740259171,0.149382740259171,0.0373456850647926,0,0,0.0373456850647926,0.0746913701295853,0,0,0.0373456850647926,0,0.112037055194378,0.0373456850647926,0.112037055194378,0,0.0746913701295853,0.0373456850647926,0.112037055194378,0.149382740259171,0.112037055194378,0.186728417873383,0.0373456850647926,0.0373456850647926,0.0373456850647926,0,0.0746913701295853,0,0,0.112037055194378,0,0.0373456850647926,0.0373456850647926,0,0.0373456850647926,0.0373456850647926,0.149382740259171,0,0.0746913701295853,0,0,0.149382740259171,0.298765480518341,0,0,0,0.0373456850647926,0,0.0373456850647926,0.112037055194378,0.0373456850647926,0,0.0373456850647926,0,0.0746913701295853,0,0,0.0746913701295853,0.0373456850647926,0,0.112037055194378,0.0746913701295853,0,0.0746913701295853,0.0373456850647926,0,0.112037055194378,0,0.0746913701295853,0,0,0,0.0373456850647926,0.112037055194378,0.149382740259171,0,0.0373456850647926,0.149382740259171,0.149382740259171,0.0373456850647926,0.112037055194378,0.0746913701295853,0.0373456850647926,0,0.0746913701295853,0.0373456850647926,0,0.112037055194378,0.0373456850647926,0.0373456850647926,0,0.0373456850647926,0,0,0.0746913701295853,0.112037055194378,0,0,0.0373456850647926,0.0373456850647926,0,0.0746913701295853,0.0373456850647926,0.0373456850647926,smallTestData
0.31352224946022,0.0627044513821602,0.02090148255229,0.1881133466959,0.02090148255229,0,0.0418029651045799,0,0,0.0418029651045799,0.02090148255229,0,0,0,0.0418029651045799,0.0627044513821602,0.0418029651045799,0,0.0627044513821602,0.02090148255229,0.02090148255229,0.02090148255229,0.20901483297348,0.16721186041832,0,0.02090148255229,0.02090148255229,0.0418029651045799,0,0,0.02090148255229,0.02090148255229,0,0,0.0627044513821602,0,0.0627044513821602,0.0627044513821602,0.0836059302091599,0.10450741648674,0,0.02090148255229,0.1881133466959,0.02090148255229,0.10450741648674,0.02090148255229,0,0.02090148255229,0.02090148255229,0.12540890276432,0,0.12540890276432,0.02090148255229,0.02090148255229,0,0.0418029651045799,0,0.0418029651045799,0.02090148255229,0.02090148255229,0.10450741648674,0.02090148255229,0.02090148255229,0,0.02090148255229,0,0.0627044513821602,0.0418029651045799,0.02090148255229,0.0836059302091599,0,0.12540890276432,0.0627044513821602,0,0.0836059302091599,0,0.0836059302091599,0.02090148255229,0.0627044513821602,0.0418029651045799,0,0.0418029651045799,0,0.0836059302091599,0.0418029651045799,0.146310389041901,0.0627044513821602,0.0836059302091599,0.16721186041832,0.12540890276432,0.02090148255229,0.02090148255229,0,0,0,0.1881133466959,0.02090148255229,0,0.16721186041832,0.02090148255229,0.10450741648674,0.0836059302091599,0.0836059302091599,0.0836059302091599,0.0627044513821602,0,0.02090148255229,0.22991631925106,0,0.0627044513821602,0.0418029651045799,0,0,0.0627044513821602,0.16721186041832,0.0418029651045799,0.12540890276432,0.02090148255229,0.10450741648674,0.0836059302091599,0.146310389041901,0.12540890276432,0,0.16721186041832,0.27171927690506,0.0418029651045799,0.0418029651045799,0.12540890276432,0.02090148255229,0.0627044513821602,0.0418029651045799,0,0.10450741648674,0,0.0627044513821602,0.0627044513821602,0.02090148255229,0.10450741648674,0,0.0418029651045799,0.02090148255229,0.1881133466959,0,0.02090148255229,0.02090148255229,0.0627044513821602,0,0.12540890276432,0.0418029651045799,0.146310389041901,smallTestData
0,0.127572983503342,0.0425243265926838,0,0,0.0850486531853676,0.0850486531853676,0,0.0425243265926838,0.0850486531853676,0,0,0.0425243265926838,0,0,0.127572983503342,0.212621629238129,0.0850486531853676,0.0850486531853676,0,0.34019461274147,0,0,0,0.170097306370735,0,0.127572983503342,0.170097306370735,0,0,0.0425243265926838,0.0425243265926838,0.0425243265926838,0,0,0.0850486531853676,0,0,0.0425243265926838,0.0425243265926838,0,0.0850486531853676,0,0,0.127572983503342,0.0850486531853676,0.0425243265926838,0.0850486531853676,0,0,0.0850486531853676,0,0.0425243265926838,0.0425243265926838,0,0,0.0425243265926838,0.0850486531853676,0.467767596244812,0,0,0.127572983503342,0.0425243265926838,0.0425243265926838,0.127572983503342,0.0425243265926838,0,0.0850486531853676,0.0850486531853676,0.0850486531853676,0.170097306370735,0,0.127572983503342,0,0.127572983503342,0.0850486531853676,0.0850486531853676,0.0850486531853676,0,0.0425243265926838,0.0850486531853676,0.0425243265926838,0,0,0.0425243265926838,0.0425243265926838,0,0.170097306370735,0.0425243265926838,0,0.0425243265926838,0,0,0,0,0.0425243265926838,0.0425243265926838,0,0.0425243265926838,0.0425243265926838,0.0425243265926838,0,0.0850486531853676,0.0425243265926838,0,0,0,0.0425243265926838,0,0.0850486531853676,0.0425243265926838,0,0.0425243265926838,0.212621629238129,0.0425243265926838,0,0,0.127572983503342,0.0425243265926838,0,0.0425243265926838,0,0,0,0.0425243265926838,0.0425243265926838,0.0850486531853676,0.0425243265926838,0.0425243265926838,0.0425243265926838,0,0,0,0.0850486531853676,0.0425243265926838,0.127572983503342,0.0850486531853676,0.0850486531853676,0.0850486531853676,0.0425243265926838,0,0.0425243265926838,0,0.0425243265926838,0,0.127572983503342,0,0.0850486531853676,0.127572983503342,0,smallTestData
0.0315457582473755,0.168244048953056,0.0420610122382641,0.105152532458305,0.0736067742109299,0.35751861333847,0.0420610122382641,0.115667782723904,0.0315457582473755,0.0525762662291527,0.063091516494751,0.178759306669235,0.14721354842186,0.0841220244765282,0.0420610122382641,0,0.0315457582473755,0.063091516494751,0.063091516494751,0.0841220244765282,0.0315457582473755,0.021030506119132,0.0736067742109299,0.136698290705681,0.105152532458305,0.010515253059566,0.021030506119132,0.115667782723904,0.0525762662291527,0.0525762662291527,0.0315457582473755,0.0736067742109299,0.0736067742109299,0.0525762662291527,0.115667782723904,0.0420610122382641,0.0525762662291527,0.14721354842186,0.0946372821927071,0.0315457582473755,0.0525762662291527,0.063091516494751,0.0315457582473755,0.021030506119132,0.0525762662291527,0.0525762662291527,0.021030506119132,0,0.0420610122382641,0.178759306669235,0.063091516494751,0.063091516494751,0.136698290705681,0.0315457582473755,0.010515253059566,0.021030506119132,0.0525762662291527,0.0946372821927071,0.105152532458305,0.0525762662291527,0.010515253059566,0.021030506119132,0.0525762662291527,0,0.0525762662291527,0.010515253059566,0.021030506119132,0.010515253059566,0.0736067742109299,0.063091516494751,0.0315457582473755,0.0525762662291527,0.021030506119132,0,0.0841220244765282,0.021030506119132,0.126183032989502,0.0420610122382641,0.0315457582473755,0.010515253059566,0.0420610122382641,0,0.0315457582473755,0.0841220244765282,0.0525762662291527,0.178759306669235,0.063091516494751,0.0736067742109299,0.0315457582473755,0.157728791236877,0.010515253059566,0.115667782723904,0.0525762662291527,0.199789807200432,0.021030506119132,0.0525762662291527,0.010515253059566,0,0.231335565447807,0.021030506119132,0.14721354842186,0.063091516494751,0.063091516494751,0,0.0841220244765282,0,0.021030506119132,0.168244048953056,0.178759306669235,0.0946372821927071,0.0420610122382641,0.0315457582473755,0,0.021030506119132,0.126183032989502,0.0420610122382641,0.0841220244765282,0.063091516494751,0.0315457582473755,0.0946372821927071,0.063091516494751,0.105152532458305,0.063091516494751,0.0946372821927071,0.0841220244765282,0.0315457582473755,0.010515253059566,0.063091516494751,0.0315457582473755,0.010515253059566,0.0736067742109299,0.0841220244765282,0.0736067742109299,0.010515253059566,0.0420610122382641,0.0946372821927071,0.0315457582473755,0,0.021030506119132,0.021030506119132,0.0315457582473755,0.0525762662291527,0.063091516494751,0.0420610122382641,0.010515253059566,0.0946372821927071,0.0525762662291527,0.0946372821927071,0.063091516494751,0.0841220244765282,smallTestData
0.0783260464668274,0.0391630232334137,0.156652092933655,0.0391630232334137,0.0783260464668274,0,0.274141162633896,0,0.0391630232334137,0.0391630232334137,0,0,0,0,0.0391630232334137,0.0391630232334137,0,0.0391630232334137,0.0783260464668274,0.117489069700241,0.0783260464668274,0,0,0.117489069700241,0.0783260464668274,0.0391630232334137,0,0,0.156652092933655,0,0.0783260464668274,0,0,0.0391630232334137,0.156652092933655,0.0783260464668274,0.0783260464668274,0.0783260464668274,0.0391630232334137,0.117489069700241,0,0,0.0391630232334137,0,0.0391630232334137,0,0.156652092933655,0.195815116167068,0,0,0,0.0391630232334137,0.0783260464668274,0,0.0783260464668274,0,0,0.0391630232334137,0.0783260464668274,0,0,0.0391630232334137,0.0391630232334137,0.156652092933655,0.0391630232334137,0.0391630232334137,0.31330418586731,0.117489069700241,0,0,0.0391630232334137,0,0,0,0.0391630232334137,0.117489069700241,0,0,0.117489069700241,0,0.0783260464668274,0.0391630232334137,0,0.117489069700241,0.0391630232334137,0.0391630232334137,0,0.234978139400482,0.0783260464668274,0.117489069700241,0,0,0,0,0,0,0,0.0391630232334137,0.0783260464668274,0,0,0.0391630232334137,0.0391630232334137,0.0783260464668274,0.195815116167068,0,0,0.156652092933655,0.195815116167068,0.0391630232334137,0.117489069700241,0,0.0391630232334137,0.117489069700241,0.117489069700241,0.0391630232334137,0.0783260464668274,0,0.0391630232334137,0.195815116167068,0.0783260464668274,0,0.0783260464668274,0.0783260464668274,0.0783260464668274,0.0391630232334137,0,0,0,0,0,0.0783260464668274,0.0391630232334137,0,0.0783260464668274,0.117489069700241,0,0,0,0.0391630232334137,0.0391630232334137,0.274141162633896,0.0391630232334137,0,0.156652092933655,0.0391630232334137,0,0.0391630232334137,0.0783260464668274,0.0391630232334137,smallTestData
0.100359953939915,0.144964382052422,0.0111511060968041,0.0111511060968041,0,0.06690663844347,0.0223022121936083,0.06690663844347,0.033453319221735,0.167266592383385,0.0892088487744331,0.100359953939915,0.0557555332779884,0.100359953939915,0.033453319221735,0.0111511060968041,0.0111511060968041,0.234173238277435,0.0780577436089516,0.0111511060968041,0.06690663844347,0,0.0557555332779884,0.033453319221735,0.0446044243872166,0,0.122662171721458,0.111511066555977,0,0.0446044243872166,0.100359953939915,0.0223022121936083,0.144964382052422,0.0111511060968041,0.0223022121936083,0.0892088487744331,0.0446044243872166,0.06690663844347,0.0892088487744331,0.0223022121936083,0.0892088487744331,0.0446044243872166,0.0446044243872166,0.0223022121936083,0.06690663844347,0.0111511060968041,0.0446044243872166,0.0111511060968041,0.0111511060968041,0.033453319221735,0.0111511060968041,0.0446044243872166,0.234173238277435,0.200719907879829,0,0,0.156115487217903,0.0892088487744331,0.0557555332779884,0.0111511060968041,0.0557555332779884,0.0446044243872166,0.0780577436089516,0.0111511060968041,0.0557555332779884,0,0.0446044243872166,0.0446044243872166,0.0111511060968041,0.0446044243872166,0.446044266223907,0.0223022121936083,0.0446044243872166,0,0.0111511060968041,0.0111511060968041,0.13381327688694,0.167266592383385,0.0111511060968041,0.0111511060968041,0.0111511060968041,0,0,0.0111511060968041,0.0111511060968041,0.06690663844347,0.033453319221735,0,0.0111511060968041,0.0446044243872166,0.0446044243872166,0.0557555332779884,0.100359953939915,0.111511066555977,0.06690663844347,0.0223022121936083,0.0111511060968041,0.111511066555977,0.06690663844347,0,0.122662171721458,0.0446044243872166,0.0223022121936083,0.06690663844347,0.0446044243872166,0,0,0.0223022121936083,0.0223022121936083,0.0557555332779884,0.0780577436089516,0,0.312230974435806,0.0446044243872166,0.033453319221735,0.033453319221735,0.033453319221735,0.0557555332779884,0.033453319221735,0,0.0446044243872166,0.0223022121936083,0.06690663844347,0.033453319221735,0.0446044243872166,0.100359953939915,0.0111511060968041,0,0.0111511060968041,0.0446044243872166,0.156115487217903,0.033453319221735,0.0557555332779884,0,0.0223022121936083,0.156115487217903,0.0557555332779884,0.033453319221735,0.0557555332779884,0,0.0223022121936083,0.0557555332779884,0.144964382052422,0.0557555332779884,0,0.0446044243872166,0.06690663844347,0.0111511060968041,0.0557555332779884,0.0111511060968041,smallTestData
0.0732579454779625,0.122096568346024,0.0976772606372833,0.0488386303186417,0.146515890955925,0.195354521274567,0.122096568346024,0.0976772606372833,0.0244193151593208,0.0244193151593208,0.0244193151593208,0.0732579454779625,0.0488386303186417,0.0244193151593208,0.0488386303186417,0.122096568346024,0.146515890955925,0.146515890955925,0.0488386303186417,0.0244193151593208,0.170935198664665,0.0732579454779625,0.122096568346024,0.0244193151593208,0,0.0488386303186417,0.0244193151593208,0.0244193151593208,0.122096568346024,0,0,0,0.0244193151593208,0.0244193151593208,0.122096568346024,0,0.0732579454779625,0.0732579454779625,0,0.0732579454779625,0,0.0244193151593208,0.0244193151593208,0.0488386303186417,0.0244193151593208,0,0.0488386303186417,0.0732579454779625,0.268612444400787,0,0.0732579454779625,0.146515890955925,0,0.0488386303186417,0.0488386303186417,0.0244193151593208,0.0244193151593208,0.122096568346024,0.0488386303186417,0,0.122096568346024,0.0488386303186417,0.0244193151593208,0,0.0732579454779625,0,0.0732579454779625,0.0244193151593208,0.0976772606372833,0.0732579454779625,0.0244193151593208,0.0244193151593208,0.122096568346024,0,0.0244193151593208,0.0732579454779625,0.0244193151593208,0.0976772606372833,0.0976772606372833,0.0244193151593208,0.122096568346024,0.0732579454779625,0.170935198664665,0,0,0.0732579454779625,0.0488386303186417,0.0488386303186417,0.0244193151593208,0.0976772606372833,0.0244193151593208,0.0488386303186417,0,0,0.0732579454779625,0.0488386303186417,0,0.0488386303186417,0.146515890955925,0.0976772606372833,0.170935198664665,0,0.122096568346024,0.0488386303186417,0.0732579454779625,0,0.0488386303186417,0.0244193151593208,0.0488386303186417,0.0244193151593208,0.0488386303186417,0,0.0732579454779625,0.0488386303186417,0.0244193151593208,0,0.0488386303186417,0.0732579454779625,0,0.0244193151593208,0.0488386303186417,0.34187039732933,0.0732579454779625,0.146515890955925,0.0488386303186417,0.0244193151593208,0.122096568346024,0.0732579454779625,0.0976772606372833,0,0.0488386303186417,0,0.0732579454779625,0.0488386303186417,0,0.0244193151593208,0,0.268612444400787,0.0732579454779625,0.0732579454779625,0.0732579454779625,0.0976772606372833,0,0,0.0732579454779625,0.0244193151593208,0,0.0488386303186417,0,0.0488386303186417,smallTestData
0,0,0,0,0.109764263033867,0,0,0,0,0.109764263033867,0,0,0.109764263033867,0.548821270465851,0,0,0,0.109764263033867,0,0,0,0,0,0,0,0.219528526067734,0,0.109764263033867,0,0,0,0,0.329292774200439,0,0,0,0.109764263033867,0,0,0,0,0.109764263033867,0,0,0,0.109764263033867,0,0,0,0,0,0,0.109764263033867,0,0,0.219528526067734,0,0,0,0.109764263033867,0,0,0,0.109764263033867,0,0,0.219528526067734,0.219528526067734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109764263033867,0,0,0,0,0.109764263033867,0,0.109764263033867,0,0,0,0,0,0.109764263033867,0,0,0,0,0,0.109764263033867,0,0,0,0,0.219528526067734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219528526067734,0,0,0,0,0,0,0,0.109764263033867,0,0,0.109764263033867,0,0.219528526067734,0.109764263033867,0.109764263033867,0,0,0,0.109764263033867,smallTestData
